Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value,Level
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by biomass and waste,0.0008805706977921644,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by solar photovoltaic,2.6510633861733672,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity nec,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by coal,1.9554457122502018,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by gas,0.24254854549134994,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by nuclear,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by hydro,0.4832399084382779,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by wind,5.307078142265864,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by petroleum and other oil derivatives,0.23927988574382952,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by biomass and waste,1.1844060958841172,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by solar photovoltaic,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HR,Activity,Production of electricity nec,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by coal,11.652677720889702,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by gas,0.43797192613920694,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by nuclear,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by hydro,2.7959766920867977,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by wind,19.24278237118725,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by petroleum and other oil derivatives,1.9680128474877951,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by biomass and waste,0.82095834797079,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,HU,Activity,Production of electricity by solar photovoltaic,0.0,Activity
