Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value,Type
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,RO,Sector,Electricity & transmission,291.7608809947557,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,SE,Sector,Electricity & transmission,0.9222051781770924,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,SI,Sector,Electricity & transmission,128.49742188497123,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,SK,Sector,Electricity & transmission,40.14374525445286,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,US,Sector,Electricity & transmission,426.89084162165136,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,AT,Sector,Electricity & transmission,64.26481545102008,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,BE,Sector,Electricity & transmission,133.05855363851234,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,BG,Sector,Electricity & transmission,443.01656095219386,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,CY,Sector,Electricity & transmission,508.7603751062358,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,CZ,Sector,Electricity & transmission,307.79978495364895,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,DE,Sector,Electricity & transmission,186.771182518975,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,DK,Sector,Electricity & transmission,17.175492012231057,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,EE,Sector,Electricity & transmission,260.72108790722444,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,ES,Sector,Electricity & transmission,214.6634138204959,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Footprint,GHG,g/kWh,FI,Sector,Electricity & transmission,62.88925565877407,Monetary
